Stellar Mass,Star Formation Rate,Redshift,Muv_int_med,Muv_int_u68,Muv_int_l68
10.717188520985886,136.30718994140625,5,-22.792971302464714,-22.792971302464714,-22.792971302464714
10.612582116507085,320.1947937011719,5,-22.53145529126771,-22.53145529126771,-22.53145529126771
10.216861538621544,99.0300521850586,5,-21.54215384655386,-21.54215384655386,-21.54215384655386
10.424895391399362,40.50938415527344,5,-22.062238478498404,-22.062238478498404,-22.062238478498404
9.816345484247218,25.7797908782959,5,-20.540863710618048,-20.540863710618048,-20.540863710618048
11.251791018521738,279.4312438964844,5,-24.129477546304344,-24.129477546304344,-24.129477546304344
10.09947532121626,48.53289031982422,5,-21.24868830304065,-21.24868830304065,-21.24868830304065
9.864855591574994,49.82404708862305,5,-20.662138978937485,-20.662138978937485,-20.662138978937485
9.973016418386022,10.594350814819336,5,-20.932541045965056,-20.932541045965056,-20.932541045965056
9.821846045218328,18.84571075439453,5,-20.55461511304582,-20.55461511304582,-20.55461511304582
10.79914730345984,247.8029022216797,5,-22.9978682586496,-22.9978682586496,-22.9978682586496
10.398995989610832,28.84057235717773,5,-21.99748997402708,-21.99748997402708,-21.99748997402708
9.66127409591618,71.1561279296875,5,-20.153185239790453,-20.153185239790453,-20.153185239790453
9.726829763242929,29.123401641845703,5,-20.317074408107324,-20.317074408107324,-20.317074408107324
9.77020563471538,29.616167068481445,5,-20.42551408678845,-20.42551408678845,-20.42551408678845
9.88593246271548,2.9307429790496826,5,-20.7148311567887,-20.7148311567887,-20.7148311567887
11.124698324039262,798.0675659179688,5,-23.811745810098152,-23.811745810098152,-23.811745810098152
10.299808688503267,28.46562767028809,5,-21.74952172125817,-21.74952172125817,-21.74952172125817
10.666929538411049,705.54345703125,5,-22.66732384602762,-22.66732384602762,-22.66732384602762
10.019450902502532,40.41157150268555,5,-21.04862725625633,-21.04862725625633,-21.04862725625633
10.655142693834064,100.9063491821289,5,-22.63785673458516,-22.63785673458516,-22.63785673458516
10.319608448546502,55.961273193359375,5,-21.799021121366255,-21.799021121366255,-21.799021121366255
10.080979930252091,63.00566864013672,5,-21.20244982563023,-21.20244982563023,-21.20244982563023
