id,ra,dec,in_cw_miri,in_primer_nircam,in_primer_miri,m814,m115,m150,m277,m444,m770,snr814,snr115,snr150,snr277,snr444,snr770,primer_m606,primer_m814,primer_m090,primer_m115,primer_m150,primer_m200,primer_m277,primer_m356,primer_m410,primer_m444,primer_m770,primer_m1800,primer_snr606,primer_snr814,primer_snr090,primer_snr115,primer_snr150,primer_snr200,primer_snr277,primer_snr356,primer_snr410,primer_snr444,primer_snr770,primer_snr1800,z_qso_med,z_qso_u68,z_qso_l68,logLbol_med,logLbol_u68,logLbol_l68,Av_qso_med,Av_qso_u68,Av_qso_l68,chi2_qso,z_gal_med,z_gal_u68,z_gal_l68,logMstar_med,logMstar_u68,logMstar_l68,SFR_100_med,SFR_100_u68,SFR_100_l68,Av_gal_med,Av_gal_u68,Av_gal_l68,chi2_gal,chi2_bd,C444,Reff444_med,Reff444_u68,Reff444_l68,Muv_int_med,Muv_int_u68,Muv_int_l68,PB_MIRI,PB_NIRCAM,PB_MIRI_NIRCAM
746708,150.0541166274228,2.284627674570635,1,1,1,29.785542782577124,28.81275522427237,28.534984848909048,28.489441892033007,26.353962410250386,26.63451215195656,1.0617618244584128,1.0642600349876614,3.1701240643905098,4.631788892862859,23.631170537558592,4.257421047813747,31.816570281982425,-99.0,-99.0,27.603965759277344,27.819900512695312,28.88103485107422,28.13611221313477,26.80018615722656,27.21466064453125,26.08266830444336,26.86494445800781,-99.0,0.0779583975672721,-0.1100696176290512,-0.1519202888011932,2.3131983280181885,2.255501747131348,0.9817349314689636,3.0833311080932617,12.389481544494627,4.568609714508057,14.813206672668455,1.5769860744476318,-0.9058607816696168,6.189355793279634,6.384032758563246,5.935013520801587,45.281649143118216,45.47424960333353,45.06786146193048,2.393582742805036,2.919976739769647,1.932499010861841,12.523,6.380910056452846,8.488672504145454,5.8612303688041205,8.747428913724804,8.999701413976632,8.532540359697377,4.769431395785175,8.349728284398878,3.000963559303384,1.7315391518438763,2.1851847802977424,1.2962770023808594,13.208,43.14064871133992,0.6799468217296131,8.708887739966647,15.455189000052416,4.278253501265351,-21.30923014125996,-20.630567172595185,-21.882524238937567,0,0,1
746771,149.99087382380458,2.3082722129304325,1,0,0,28.51477530633224,-99.0,27.656400797793797,26.64054790315026,24.641130472716,24.342800102731637,1.1803231947330988,-0.221315736465965,3.1943884068200035,10.99223118043466,51.34472723753466,25.255548535692046,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,6.049173285014716,7.7749207517831715,5.692685028379338,46.10266442736591,46.24240076146528,45.93779734663664,2.9268747582705688,3.3006858734630145,2.436915257330777,2.804,5.766376802210244,8.308619984493356,5.261320491409927,9.517001938998169,9.792590840667796,9.318312880524456,26.98795032888709,50.38398056893795,18.37561462269313,2.5082823824621645,2.7694244243956003,1.9448563832344223,2.514,433.1006867076992,0.6081819919464868,17.99038511266981,21.350214041830316,13.446303129028069,-23.30793431909177,-22.653472946820525,-23.786848285888528,1,0,0
746863,150.07801879425787,2.277619300955742,0,1,1,27.395221317306003,26.196567358862858,28.157031977390243,26.21116118939992,24.50961656316065,-99.0,5.381593326540604,4.097922212538842,1.6661585523179114,11.730771810615746,47.93828492796028,-99.0,-99.0,28.2174015045166,26.75445556640625,27.191925048828125,27.170730590820312,26.64218139648437,26.3148193359375,25.259662628173828,25.2437801361084,24.67717742919922,24.485490798950195,24.03402328491211,-0.3860450088977813,2.341113567352295,6.779472827911377,4.749619960784912,5.793769359588623,9.847681045532228,16.757383346557617,54.11726760864258,31.16460418701172,65.45491027832031,14.16366481781006,1.1293103694915771,5.675190301280452,5.811893943048563,5.643162363111282,45.913363890896605,46.03853382266137,45.771311577495496,2.7973644033620806,2.979465434325015,2.600272037169164,9.078,5.608021817700579,5.628673599904178,5.593073917494955,9.195617214207648,9.366887408274255,9.083872433859602,13.48495455664526,19.247239328964525,10.76334894850452,2.2926637588353804,2.417524867898611,2.1586979731369422,9.871,594.1792077406051,0.5905337785656493,19.924917314174348,21.652836789957423,17.528057889156536,-23.09834011712416,-22.606445085540354,-23.472567511038463,0,0,1
748189,150.0018087667495,2.3196030808328274,1,0,0,29.327464873603105,29.02692973162424,28.610385939581956,27.83107192795149,26.142949892229492,25.288633935632788,0.7465192040655395,0.7568429426136348,2.499196350690593,6.1654407717456845,24.253521047809173,12.900735787092414,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,7.022166935227609,8.322438663129889,5.370650797569525,45.78137543180048,46.01165802766619,45.52077349985824,3.061718416806631,4.430785687519408,2.4096627881136685,0.333,7.4150919325859395,8.591186495780017,5.740770590044951,9.83064802544,10.017579953977004,9.568827850056769,32.83703987234586,50.06150630934555,19.209337196912134,1.7761812179877556,2.4190682760476445,1.4719373024640232,0.459,127.54970746666962,0.5336000949601355,42.93391741090745,47.33853352328311,38.20799990335659,-22.14658960472396,-21.31923923567413,-22.899080730895825,1,0,0
748301,150.07603055821522,2.293768539365741,1,0,1,27.39170724706249,28.14834224463877,27.93860458325908,27.733583269374165,25.610127806006677,25.451379139880167,6.211964575072725,0.9620107623686208,3.2382720303259327,4.581820007476841,27.65056689352919,12.37608455510956,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,25.33268165588379,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,6.470026016235352,-0.1940907537937164,5.50541330948297,5.663403519910097,5.414572405661588,45.90616290623187,46.03632684613058,45.78310218139814,4.185097722537131,4.618031657855098,3.757242693910054,9.97,5.098057796563424,5.266599664775465,4.980161603365319,9.00838154658332,9.139731655797291,8.900178614174537,8.775935820111751,11.570959295261089,6.951444827767758,3.4602118822326435,3.811229218783807,3.104931259936534,2.481,123.58946270618024,0.5967772613426624,10.241502203292146,14.95128059933008,6.773393938741971,-23.292004692936437,-22.929656227277,-23.651880259457247,1,0,0
749013,150.06783663041313,2.3033001645629647,1,1,1,28.417435848784763,28.660823382407443,29.16409386368644,27.758465991398,25.797301198878436,25.119662819198965,2.5799634891034,0.91032693771161,1.1643538160858105,5.238091708181887,25.870334064260696,14.859571562587192,-99.0,28.993331909179688,27.95178604125977,27.661359786987305,27.63044166564941,27.91871833801269,26.86590385437012,25.929443359375,25.974178314208984,25.369415283203125,25.440814971923828,23.97750473022461,-0.3558543026447296,0.8846871852874756,2.14052152633667,2.8125405311584477,3.5087366104125977,3.116816997528076,12.149638175964355,31.946184158325195,18.285568237304688,37.08258819580078,5.859642505645752,1.1887123584747314,5.984103714679032,6.313168003277107,5.7353837367796245,45.66901899477132,45.77551195254364,45.52499048430096,2.4702762001295167,2.7061891591654264,2.2035839968992303,5.018,5.962959755486665,6.383472954594732,5.675421082062488,9.368690140281624,9.601491228223846,9.069515025625618,17.507430204755167,29.284869224152555,9.91350805402281,1.954306720552959,2.147587541806838,1.7285827896494588,6.872,352.1723931415189,0.5678335174645721,19.54457933922946,25.50204564065671,15.368320671056836,-22.41290325687899,-21.974780503266764,-22.73836975161827,0,0,1
752534,150.02921759769865,2.3555014778853165,1,0,1,27.726904546127056,28.422140388086756,28.104295734972546,26.838341999584937,24.97149665335867,24.735206857170795,3.5692394272954004,0.7913019117917869,2.6141544667221197,10.448270970510562,46.82209895725049,14.37047776664737,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,25.15037727355957,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,7.1888837814331055,-0.3450904190540313,5.928507690865292,7.861881167595185,5.610107396751224,45.82817930663185,45.938544067834016,45.71017758488493,2.68179899907973,3.034409598559491,2.048017129964706,9.318,5.251468346647845,5.482931138289665,5.042316972110533,9.001914054781505,9.1314497073345,8.8956559987049,8.81875819474008,11.347638697315553,6.950034634346912,2.330838530760115,2.5544784958469005,2.1184019506391154,1.333,144.89741606024825,0.634762254258892,8.516000776373236,12.946745604928044,4.565503804865176,-22.75935649434059,-22.09818857705103,-23.146963759154065,1,0,0
753210,150.01906497470145,2.3648485110367776,1,0,0,27.62647654465417,29.17123432187801,-99.0,27.05967553095395,25.16875726540269,25.16191803120907,2.980332957512054,0.5215030754408803,-0.217336580858187,11.403041226872936,52.09105238184604,13.473552878909008,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,6.054199568235025,8.082451913962263,5.773643327236915,45.749428979754406,45.8789566536009,45.61772995286525,2.475736299340653,2.8297537850555754,1.9764368631693003,8.931,5.492861333692856,6.1111847337037934,5.151284235086207,9.051641773940428,9.242523151059906,8.919026251373802,9.56802483592068,14.274464538075296,7.306414252323608,2.2809899907934783,2.47840803745574,2.0196437683081614,5.068,129.83175675213397,0.6415764696301809,2.830691995876257,5.1438999269155845,1.4814163919302152,-22.38735669722002,-21.82775433999581,-22.840857487801998,1,0,0
753306,150.06275348592845,2.3498476676263857,1,0,1,29.583511057575365,-99.0,29.569740241042396,28.420286751700026,26.499017413654546,26.0807727746528,1.2001992746346208,-0.1693871618982454,1.5069319793787976,6.000194598057602,25.490759782003504,10.401660055634158,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,25.61742401123047,24.95710182189941,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,4.984757423400879,0.4822588264942169,8.358200148062457,8.8772201809869,7.802321631646208,45.78324001718397,45.99611618174254,45.52410776552191,2.667392733024536,3.1615563975116774,2.2879893605024315,4.169,7.233127119437347,8.58444907109755,5.861335926587705,9.783793867607628,9.99937792993735,9.588021190648382,29.491598892678905,48.678321613910526,18.342581512955544,2.1703174713877225,2.708450804484771,1.74461428239181,4.073,138.80716519807157,0.6531512814853737,6.745102145459017,12.872314960423733,2.839056529301074,-21.642545249118857,-20.85565169528512,-22.29822148116571,1,0,0
756434,150.10690059379564,2.360044455259702,0,1,0,28.622822676091136,28.495726681911343,27.660945258400773,27.13654349951171,25.53410838669001,-99.0,2.8298259230004787,0.9640850930949602,4.205571442116614,7.605575742169419,29.82357924499941,-99.0,-99.0,31.43268203735352,28.962448120117188,27.48255920410156,27.525909423828125,27.111549377441406,26.991559982299805,25.948579788208008,25.1738395690918,25.34764862060547,-99.0,-99.0,-0.4516343772411346,0.1681050956249237,1.5073881149291992,6.162201881408691,7.225734710693359,11.941980361938477,27.275257110595703,77.16154479980469,74.6318588256836,82.80738830566406,-99.0,-99.0,7.000665533735169,7.055291630034988,6.978197277501624,46.5827812821654,46.85610590889012,46.32586697652111,4.471184711004245,5.283519823648306,3.817233301053831,4.464,6.998188299637291,7.007123794046388,6.989869217562286,10.447582178020117,10.627365378738672,10.24692054627448,49.90726761239729,84.1052870553203,34.557776530712,2.4179347980180217,2.721630930516227,2.1535388654072936,8.892,2754.9914859584505,0.628319747922281,13.9079101001578,18.718748797965496,9.097163248298598,-23.857793175015445,-23.15732863347623,-24.57004403745643,0,1,0
